energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,proteins_value,salt_value,sodium_value,energy_value,off:nutriscore_score,off:ecoscore_score,cluster,code
498.0,24.0,14.0,62.0,29.0,7.1,0.23,0.092,498.0,23.0,70.0,0,20115777
358.0,2.0,0.5,66.2,13.2,11.1,0.63,0.252,358.0,-2.0,29.0,2,20621483
368.0,1.8,0.4,80.0,1.0,7.5,0.7,0.28,368.0,2.0,43.0,2,8480000141583
367.0,9.3,5.1,60.0,26.0,6.8,0.11,0.044,367.0,9.0,61.0,0,8480000094926
377.0,9.7,5.1,60.5,24.8,7.9,0.07,0.028,1587.0,8.0,61.0,0,20202859
369.0,5.8,0.9,63.0,16.0,12.0,0.28,0.112,1556.0,-2.0,61.0,2,5010029201246
46.0,0.8,0.1,8.3,6.3,1.4,0.07,0.028,196.0,1.0,63.0,4,20659318
388.0,4.8,2.0,73.6,22.4,8.8,0.22,0.088,1612.0,-1.0,30.0,0,7613036501378
405.0,8.6,1.4,67.0,14.0,11.0,0.28,0.112,405.0,0.0,25.0,2,5010029208610
373.0,1.6,0.3,75.0,1.0,10.3,1.1,0.44,1578.0,-2.0,29.0,2,8480000094889
52.0,2.5,2.0,6.8,3.6,0.0,0.115,0.046,52.0,1.0,52.0,4,8480000861672
377.0,1.6,0.3,81.0,34.0,7.1,0.02,0.008,1597.0,6.0,29.0,0,5053827101424
477.0,22.7,3.5,50.2,4.7,13.6,0.02,0.008,477.0,-1.0,66.0,2,8480000094742
382.0,7.1,2.3,66.7,25.1,8.5,0.07,0.028,1611.0,6.0,66.0,0,20202866
409.0,13.0,1.5,64.0,2.3,9.3,0.7,0.28,409.0,-1.0,56.0,2,8480000094513
385.0,3.0,0.9,79.0,25.0,8.3,1.13,0.452,1630.0,10.0,29.0,0,5053827110679
47.0,0.7,0.1,8.2,4.8,1.6,0.03,0.012,198.0,1.0,63.0,4,8423352100143
389.0,4.1,1.0,74.0,0.7,10.0,0.3,0.12,389.0,-5.0,25.0,2,8480000095329
426.0,12.0,1.4,68.0,20.0,8.0,0.05,0.02,1793.0,1.0,79.0,2,3560070792368
374.0,0.8,0.2,83.0,2.2,7.2,2.0,0.8,1589.0,9.0,44.0,2,3560071267582
43.0,1.2,0.2,7.2,5.0,0.5,0.0775,0.031,182.0,1.0,41.0,4,3245413451804
512.0,32.1,6.2,34.3,12.1,18.4,0.01,0.004,512.0,9.0,64.0,1,5013803000035
447.0,14.5,6.5,67.0,37.0,10.0,0.78,0.312,1878.0,19.0,15.0,0,8480000092649
359.0,2.0,0.5,71.0,3.5,13.0,0.01,0.004,1521.0,-4.0,45.5032693093584,2,8076808150072
362.0,2.0,0.6,69.0,4.2,12.0,0.28,0.112,1531.0,-5.0,38.0,2,5010029000061
389.0,1.2,0.4,86.0,7.9,7.0,1.0,0.4,1649.0,2.0,29.0,2,5053827184717
